what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1508073265866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073278637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073280795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073286153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073289065
activated,view,it.eng.spagobi.studio.core,4.1.0,"it.eng.spagobi.studio.core.views.ResourceNavigator",1508073306194
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1508073306253
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073328905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073330865
closed,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1508073331042
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1508073331127
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1508073331217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073335659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073380944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073387496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073398588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073401152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073402551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073407470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073411330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073413352
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073486330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073489430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073491137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073491279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073493616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073493669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073493814
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508073495138
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1508073496066
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1508073496073
stopped,bundle,cbg.article.treeviewer,1.0.0,"cbg.article.treeviewer",1508073496585
stopped,bundle,it.eng.spagobi.studio.core,4.1.0,"it.eng.spagobi.studio.core",1508073496585
stopped,bundle,it.eng.spagobi.studio.console,4.1.0,"it.eng.spagobi.studio.console",1508073496585
stopped,bundle,org.eclipse.birt.report.debug.ui,4.2.1.v20120820,"org.eclipse.birt.report.debug.ui",1508073496585
stopped,bundle,org.eclipse.birt.report.designer.ui.preview.web,4.2.1.v20120820,"org.eclipse.birt.report.designer.ui.preview.web",1508073496585
stopped,bundle,org.eclipse.birt.report.viewer,4.2.1.v201209071804,"org.eclipse.birt.report.viewer",1508073496585
stopped,bundle,com.teradata.datatools.dependencies.ui,13.0.0.201105251120,"com.teradata.datatools.dependencies.ui",1508073496586
stopped,bundle,com.teradata.datatools.dtp.compareview,13.11.0.201105251120,"com.teradata.datatools.dtp.compareview",1508073496586
stopped,bundle,com.teradata.datatools.dtp.find,13.10.0.201105251120,"com.teradata.datatools.dtp.find",1508073496586
stopped,bundle,com.teradata.datatools.dtp.copycompare,13.11.0.201105251120,"com.teradata.datatools.dtp.copycompare",1508073496586
stopped,bundle,com.teradata.datatools.dependencies,13.0.0.201105251120,"com.teradata.datatools.dependencies",1508073496586
stopped,bundle,com.teradata.datatools.jxsp,13.11.0.201105251120,"com.teradata.datatools.jxsp",1508073496586
stopped,bundle,com.teradata.datatools.dtp.sqltools.plan.preferences,13.0.0.201105251120,"com.teradata.datatools.dtp.sqltools.plan.preferences",1508073496586
stopped,bundle,com.teradata.datatools.sqldev.dialogs,13.11.0.201105251120,"com.teradata.datatools.sqldev.dialogs",1508073496586
stopped,bundle,com.teradata.datatools.xsltmanager.wizards,13.2.0.201105251120,"com.teradata.datatools.xsltmanager.wizards",1508073496586
stopped,bundle,com.teradata.datatools.sqldev.viewparts,13.11.0.201105251120,"com.teradata.datatools.sqldev.viewparts",1508073496586
stopped,bundle,com.teradata.datatools.dtp.dse.ui,13.11.0.201105251120,"com.teradata.datatools.dtp.dse.ui",1508073496586
stopped,bundle,com.teradata.datatools.dtp.fastload,13.11.0.201105251120,"com.teradata.datatools.dtp.fastload",1508073496586
stopped,bundle,com.teradata.datatools.dtp.fastexport,13.10.0.201105251120,"com.teradata.datatools.dtp.fastexport",1508073496586
stopped,bundle,com.teradata.datatools.dtp.sqltools.resultview,13.11.0.201105251120,"com.teradata.datatools.dtp.sqltools.resultview",1508073496586
stopped,bundle,com.teradata.datatools.sqldev.history,13.11.0.201105251120,"com.teradata.datatools.sqldev.history",1508073496586
stopped,bundle,com.teradata.datatools.teradataproject,13.11.0.201105251120,"com.teradata.datatools.teradataproject",1508073496586
stopped,bundle,com.teradata.datatools.dtp.sqltools.ui,13.11.0.201105251120,"com.teradata.datatools.dtp.sqltools.ui",1508073496586
stopped,bundle,com.teradata.datatools.dtp.sqltools.plan,13.10.0.201105251120,"com.teradata.datatools.dtp.sqltools.plan",1508073496586
stopped,bundle,com.teradata.datatools.dtp.sqltools.result,13.11.0.201105251120,"com.teradata.datatools.dtp.sqltools.result",1508073496586
stopped,bundle,com.teradata.datatools.dtp.xsd,13.2.0.201105251120,"com.teradata.datatools.dtp.xsd",1508073496586
stopped,bundle,com.teradata.datatools.dtp.sqltools,13.11.0.201105251120,"com.teradata.datatools.dtp.sqltools",1508073496586
stopped,bundle,com.teradata.datatools.xsltmanager,13.1.0.201105251120,"com.teradata.datatools.xsltmanager",1508073496586
stopped,bundle,com.teradata.datatools.dtp.teradataview,13.11.0.201105251120,"com.teradata.datatools.dtp.teradataview",1508073496586
stopped,bundle,com.teradata.datatools.dtp.util,13.2.0.201105251120,"com.teradata.datatools.dtp.util",1508073496683
stopped,bundle,com.teradata.datatools.sqldev.models,13.11.0.201105251120,"com.teradata.datatools.sqldev.models",1508073496737
