what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1508153634770
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.jpt.ui",1508153634770
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1508153634770
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.2.v201211200622,"org.eclipse.datatools.connectivity.db.generic.ui",1508153634770
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb.ui,4.2.1.v20120820,"org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb.ui",1508153634770
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201107221459,"org.eclipse.datatools.connectivity.apache.derby.ui",1508153634770
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1508153634770
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111204,"org.eclipse.datatools.enablement.sybase.asa.ui",1508153634770
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1508153634770
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090452,"org.eclipse.datatools.enablement.sybase.ui",1508153634770
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.2.v201212120623,"org.eclipse.datatools.sqltools.data.ui",1508153634770
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.101.v201212070447,"org.eclipse.datatools.connectivity.sqm.server.ui",1508153634770
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.3.v201211200616,"org.eclipse.datatools.sqltools.ddlgen.ui",1508153634770
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1508153634770
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1508153634770
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1508153634770
